what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"org.eclipse.ui.workbench",1257018835025
started,bundle,org.eclipse.wst.common.emf,1.1.301.v200908181930,"org.eclipse.wst.common.emf",1257018835027
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.1.301.v200908101600,"org.eclipse.wst.common.emfworkbench.integration",1257018835028
started,bundle,org.eclipse.wst.common.frameworks.ui,1.1.301.v200908101600,"org.eclipse.wst.common.frameworks.ui",1257018835029
started,bundle,org.eclipse.wst.common.modulecore,1.1.301.v200908101600,"org.eclipse.wst.common.modulecore",1257018835031
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.1.v200908111817,"org.eclipse.wst.common.project.facet.core",1257018835031
started,bundle,org.eclipse.wst.jsdt.core,1.0.201.v200908101420,"org.eclipse.wst.jsdt.core",1257018835034
started,bundle,org.eclipse.wst.sse.core,1.1.401.v200909172215,"org.eclipse.wst.sse.core",1257018835036
started,bundle,org.eclipse.wst.web,1.1.301.v200909021400,"org.eclipse.wst.web",1257018835037
started,bundle,org.eclipse.wst.xml.core,1.1.401.v200908242115,"org.eclipse.wst.xml.core",1257018835039
started,bundle,org.eclipse.egit.core,0.5.0.200908282229,"org.eclipse.egit.core",1257018835040
started,bundle,org.eclipse.egit.ui,0.5.0.200908282229,"org.eclipse.egit.ui",1257018835042
started,bundle,org.spearce.jgit,0.5.0.200908282229,"org.spearce.jgit",1257018835042
os,sysinfo,,,"linux",1257018835046
arch,sysinfo,,,"x86_64",1257018835046
ws,sysinfo,,,"gtk",1257018835046
locale,sysinfo,,,"en_DK",1257018835046
processors,sysinfo,,,"2",1257018835047
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1257018835047
java.runtime.version,sysinfo,,,"1.6.0_16-b01",1257018835047
java.specification.name,sysinfo,,,"Java Platform API Specification",1257018835047
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1257018835047
java.specification.version,sysinfo,,,"1.6",1257018835047
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1257018835047
java.version,sysinfo,,,"1.6.0_16",1257018835047
